original,entities
"acquisto dal prof. Renato Piattoli di Firenze, 1949.","{'persons': [{'last_name': 'Piattoli', 'first_name': 'Renato', 'occupations': ['professor'], 'birth': None, 'death': None}], 'organisations': []}"
"biblioteca di Giovan Battista Doni, libreria privata di Gabriello Riccardi","{'persons': [{'last_name': 'Doni', 'first_name': 'Giovan Battista', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Riccardi', 'first_name': 'Gabriello', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Nel recto della prima carta non num. nota di possesso cancellata con tratti di penna: 'Ad usum Fratris Joseph Mariae Castillionei Sacri Ordinis Praedicatorum'. Prov.: Appartenne, evidentemente, ad un convento dell'Ordine dei Frati Predicatori","{'persons': [{'last_name': 'Castillionei', 'first_name': 'Joseph Maria', 'occupations': ['Frate', ""Membro dell'Ordine dei Predicatori""], 'birth': None, 'death': None}], 'organisations': [{'name': 'Ordine dei Frati Predicatori', 'place': None}]}"
Agamennone Marescotti de' Calvi,"{'persons': [{'last_name': ""Marescotti de' Calvi"", 'first_name': 'Agamennone', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
Il manoscritto si presenta senza legatura. La scrittura è di un'unica mano e appartiene a F. Odorici.,"{'persons': [{'last_name': 'Odorici', 'first_name': 'F.', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Note a margine e integrazione e correzione testuale (molto ampia quella di c. 34v) di lezioni erroneamente scritte dal copista apposte da altra mano nelle cc. 25-79. Precedenti catalogazioni: n. 103 della catalogazione di A. Visconti (1773). Legatura settecentesca in pelle, con ornamentazioni impresse a secco e tassello, diversa dalla tipica legatura polironiana apposta nel 1773 nel corso del riordino e inventariazione dei manoscritti, ma comune ad alcuni altri codici polironiani e probabilmente anteriore a questa data.","{'persons': [{'last_name': 'Visconti', 'first_name': 'A.', 'occupations': [], 'birth': None, 'death': None}], 'organisations': [{'name': 'Polironiana', 'place': None}]}"
Prov. Fondo Hercolani.,"{'persons': [], 'organisations': [{'name': 'Fondo Hercolani', 'place': None}]}"
Ex libris Biblioth. S. Dominici Bononiae,"{'persons': [], 'organisations': [{'name': 'Bibliotheca Sancti Dominici', 'place': 'Bononiae'}]}"
Del Cav. Con. Vincenzio Ranuzzi.,"{'persons': [{'last_name': 'Ranuzzi', 'first_name': 'Vincenzio', 'occupations': ['Cavaliere', 'Conte'], 'birth': None, 'death': None}], 'organisations': []}"
"Ex libris del co. Baldassarre Carrati di Bologna. - Segnat, antica: 17, G. II. 50.","{'persons': [{'last_name': 'Carrati', 'first_name': 'Baldassarre', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Poss. Ant. Petri Philippi Zannelli de Lugo, della cui mano è tutto il manoscritto.","{'persons': [{'last_name': 'Zannelli de Lugo', 'first_name': 'Ant. Petri Philippi', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Scipione Roncaglia (1692), Baldassarre Ravazzini (1732, Girolamo Zanantoni di Marano (1742).","{'persons': [{'last_name': 'Roncaglia', 'first_name': 'Scipione', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Ravazzini', 'first_name': 'Baldassarre', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Zanantoni', 'first_name': 'Girolamo', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
« Appartiene a Giacomo Zanoni di Reggio pub.co prof. a Bologna. 1671 »,"{'persons': [{'last_name': 'Zanoni', 'first_name': 'Giacomo', 'occupations': ['professor'], 'birth': None, 'death': None}], 'organisations': [{'name': None, 'place': 'Bologna'}]}"
a) Bibl. SS. Ann. Bon.; b) Libreria di S. Giacomo in Loiano.,"{'persons': [], 'organisations': [{'name': 'Bibl. SS. Ann. Bon.', 'place': None}, {'name': 'Libreria di S. Giacomo', 'place': 'Loiano'}]}"
biblioteca di Anton Maria Salvini; libreria di Gabriello; Libreria del marchese Gabbriello Riccardi; Bibliotheca subdecani Riccardii,"{'persons': [{'last_name': 'Salvini', 'first_name': 'Anton Maria', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Riccardi', 'first_name': 'Gabbriello', 'occupations': ['marchese'], 'birth': None, 'death': None}], 'organisations': [{'name': 'Bibliotheca subdecani Riccardii', 'place': None}]}"
monache di Sancto Pietro martire,"{'persons': [], 'organisations': [{'name': 'monache di Sancto Pietro martire', 'place': None}]}"
Soc. Iesu. Florentiae famiglia Riccardi,"{'persons': [{'last_name': 'Riccardi', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': [{'name': 'Societas Iesu', 'place': 'Florence'}]}"
"Acq. dal libraio antiquario bolognese Angelo Gandolfi, 23 marzo 1927.","{'persons': [{'last_name': 'Gandolfi', 'first_name': 'Angelo', 'occupations': ['libraio antiquario'], 'birth': None, 'death': None}], 'organisations': []}"
"Acq. dal march G. Cavriani Ratta, 15 maggio 1907","{'persons': [{'last_name': 'Cavriani Ratta', 'first_name': 'G.', 'occupations': ['marchese'], 'birth': None, 'death': None}], 'organisations': []}"
"Acquisto, 1927. Ex libris Bibl. Gust. C. Galletti Flor.","{'persons': [{'last_name': 'Galletti', 'first_name': 'Gust. C.', 'occupations': [], 'birth': None, 'death': None}], 'organisations': [{'name': 'Bibl. Gust. C. Galletti', 'place': 'Flor.'}]}"
"Con la libreria dei Gesuiti, di voll. 15284, che fu definitivamente ceduta al Municipio nel 1869.","{'persons': [], 'organisations': [{'name': 'Gesuiti', 'place': None}, {'name': 'Municipio', 'place': None}]}"
"Dono Comm. G. Cavalieri, 1918","{'persons': [{'last_name': 'Cavalieri', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
