original,entities
"acquisto dal prof. Renato Piattoli di Firenze, 1949.","{'persons': [{'last_name': 'Piattoli', 'first_name': 'Renato', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"biblioteca di Giovan Battista Doni, libreria privata di Gabriello Riccardi","{'persons': [{'last_name': 'Doni', 'first_name': 'Giovan', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Riccardi', 'first_name': 'Gabriello', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Nel recto della prima carta non num. nota di possesso cancellata con tratti di penna: 'Ad usum Fratris Joseph Mariae Castillionei Sacri Ordinis Praedicatorum'. Prov.: Appartenne, evidentemente, ad un convento dell'Ordine dei Frati Predicatori","{'persons': [{'last_name': 'Ordinis', 'first_name': 'Joseph', 'occupations': [], 'birth': None, 'death': None}], 'organisations': [{'name': 'Ordine dei Frati Predicatori', 'place': None}]}"
Agamennone Marescotti de' Calvi,"{'persons': [{'last_name': 'Calvi', 'first_name': 'Agamennone', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
Il manoscritto si presenta senza legatura. La scrittura è di un'unica mano e appartiene a F. Odorici.,"{'persons': [{'last_name': 'Odorici', 'first_name': 'F.', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Note a margine e integrazione e correzione testuale (molto ampia quella di c. 34v) di lezioni erroneamente scritte dal copista apposte da altra mano nelle cc. 25-79. Precedenti catalogazioni: n. 103 della catalogazione di A. Visconti (1773). Legatura settecentesca in pelle, con ornamentazioni impresse a secco e tassello, diversa dalla tipica legatura polironiana apposta nel 1773 nel corso del riordino e inventariazione dei manoscritti, ma comune ad alcuni altri codici polironiani e probabilmente anteriore a questa data.","{'persons': [{'last_name': 'Visconti', 'first_name': 'A.', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
Prov. Fondo Hercolani.,"{'persons': [{'last_name': 'Hercolani', 'first_name': 'Fondo', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
Ex libris Biblioth. S. Dominici Bononiae,"{'persons': [], 'organisations': []}"
Del Cav. Con. Vincenzio Ranuzzi.,"{'persons': [{'last_name': 'Cav', 'first_name': 'Del', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Ranuzzi', 'first_name': 'Vincenzio', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Ex libris del co. Baldassarre Carrati di Bologna. - Segnat, antica: 17, G. II. 50.","{'persons': [{'last_name': 'Bologna', 'first_name': 'Baldassarre', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'II', 'first_name': 'G.', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Poss. Ant. Petri Philippi Zannelli de Lugo, della cui mano è tutto il manoscritto.","{'persons': [{'last_name': '', 'first_name': 'Ant', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Lugo', 'first_name': 'Petri', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Scipione Roncaglia (1692), Baldassarre Ravazzini (1732, Girolamo Zanantoni di Marano (1742).","{'persons': [{'last_name': 'Roncaglia', 'first_name': 'Scipione', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Ravazzini', 'first_name': 'Baldassarre', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Zanantoni', 'first_name': 'Girolamo', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
« Appartiene a Giacomo Zanoni di Reggio pub.co prof. a Bologna. 1671 »,"{'persons': [{'last_name': 'Zanoni', 'first_name': 'Giacomo', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
a) Bibl. SS. Ann. Bon.; b) Libreria di S. Giacomo in Loiano.,"{'persons': [], 'organisations': [{'name': 'SS', 'place': None}]}"
biblioteca di Anton Maria Salvini; libreria di Gabriello; Libreria del marchese Gabbriello Riccardi; Bibliotheca subdecani Riccardii,"{'persons': [{'last_name': 'Salvini', 'first_name': 'Anton', 'occupations': [], 'birth': None, 'death': None}, {'last_name': '', 'first_name': 'Gabriello', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Riccardii', 'first_name': 'Bibliotheca', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
monache di Sancto Pietro martire,"{'persons': [], 'organisations': []}"
Soc. Iesu. Florentiae famiglia Riccardi,"{'persons': [{'last_name': '', 'first_name': 'Florentiae', 'occupations': [], 'birth': None, 'death': None}, {'last_name': '', 'first_name': 'Riccardi', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Acq. dal libraio antiquario bolognese Angelo Gandolfi, 23 marzo 1927.","{'persons': [{'last_name': 'Gandolfi', 'first_name': 'Angelo', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Acq. dal march G. Cavriani Ratta, 15 maggio 1907","{'persons': [{'last_name': 'Ratta', 'first_name': 'G.', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Acquisto, 1927. Ex libris Bibl. Gust. C. Galletti Flor.","{'persons': [{'last_name': '', 'first_name': 'Gust', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Flor', 'first_name': 'C.', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Con la libreria dei Gesuiti, di voll. 15284, che fu definitivamente ceduta al Municipio nel 1869.","{'persons': [], 'organisations': [{'name': 'Gesuiti', 'place': None}]}"
"Dono Comm. G. Cavalieri, 1918","{'persons': [{'last_name': 'Comm', 'first_name': 'Dono', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Cavalieri', 'first_name': 'G.', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Dono del cav. Giuseppe Ballarini (già presidente della Società stessa), 1896","{'persons': [{'last_name': 'Ballarini', 'first_name': 'Giuseppe', 'occupations': [], 'birth': None, 'death': None}], 'organisations': [{'name': 'Società', 'place': None}]}"
Fondo antico (nell'interno del piatto anteriore una nota: « Dono di Mons. D. Pio dalla Casa »). Segn. antica 17. Mss. Sezione ecclesiast. Cart. H 14. Nº. 1.,"{'persons': [{'last_name': 'Casa', 'first_name': 'D.', 'occupations': [], 'birth': None, 'death': None}, {'last_name': '', 'first_name': 'Segn', 'occupations': [], 'birth': None, 'death': None}, {'last_name': '', 'first_name': 'Mss', 'occupations': [], 'birth': None, 'death': None}], 'organisations': [{'name': 'Fondo antico', 'place': None}, {'name': 'Cart', 'place': None}, {'name': 'Nº. 1', 'place': None}]}"
"Il ms. reca all'interno del piatto posteriore la seguente nota: «1846 li 4 giugno. Comprato il presente tacuino del cav. Marcantonio Franceschini famoso pittore dal sig. Tognetti segretario giubilato»; poiché questa nota non è autografa di Francesco Tognetti, si deve intendere nel senso che il Tognetti fu il venditore del ms. all'acquirente non identificato che vergò l'appunto. Nel 1930 il ms. fu trovato in vendita alla libreria antiquaria Zanichelli di Bologna da Guido Zucchini che lo segnalò ad Albano Sorbelli il quale lo acquistò per la Biblioteca dell'Archiginnasio.","{'persons': [{'last_name': 'Franceschini', 'first_name': 'Marcantonio', 'occupations': [], 'birth': None, 'death': None}, {'last_name': '', 'first_name': 'Tognetti', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Tognetti', 'first_name': 'Francesco', 'occupations': [], 'birth': None, 'death': None}, {'last_name': '', 'first_name': 'Tognetti', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Zucchini', 'first_name': 'Guido', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Sorbelli', 'first_name': 'Albano', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Prov. Acq. dalla Libr. Ant. Martelli di Bologna, il 1.o luglio 1905, per £. 5.","{'persons': [{'last_name': '', 'first_name': 'Ant', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Bologna', 'first_name': 'Martelli', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Prov. Dono del cav. Tito Manetti, 1907 (nell'interno del piatto anteriore è la nota: 1882. Decembre. Comprato da Ravagnoli, che mi disse averlo avuto nella compera che fece della libreria del defunto Don Pietro Lozzani »).","{'persons': [{'last_name': 'Manetti', 'first_name': 'Tito', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Lozzani', 'first_name': 'Don', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Prov. fondo antico, probabilmente dal convento di S. Domenico.","{'persons': [{'last_name': 'Domenico', 'first_name': 'S.', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
