original,entities
"acquisto dal prof. Renato Piattoli di Firenze, 1949.","{'persons': [{'last_name': 'Firenze', 'first_name': 'Renato Piattoli di', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"biblioteca di Giovan Battista Doni, libreria privata di Gabriello Riccardi","{'persons': [{'last_name': 'Doni', 'first_name': 'Giovan Battista', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Riccardi', 'first_name': 'Gabriello', 'occupations': [], 'birth': None, 'death': None}], 'organisations': [{'name': 'biblioteca Giovan Battista Doni', 'place': None}, {'name': 'libreria privata di Gabriello Riccardi', 'place': None}]}"
"Nel recto della prima carta non num. nota di possesso cancellata con tratti di penna: 'Ad usum Fratris Joseph Mariae Castillionei Sacri Ordinis Praedicatorum'. Prov.: Appartenne, evidentemente, ad un convento dell'Ordine dei Frati Predicatori","{'persons': [{'last_name': 'Nel', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Ad', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Praedicatorum', 'first_name': 'Joseph Mariae Castillionei Sacri Ordinis', 'occupations': ['Frate'], 'birth': None, 'death': None}, {'last_name': 'Prov', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Appartenne', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Predicatori', 'first_name': 'Ordine dei Frati', 'occupations': [], 'birth': None, 'death': None}], 'organisations': [{'name': ""convento dell'Ordine dei Frati Predicatori"", 'place': None}]}"
Agamennone Marescotti de' Calvi,"{'persons': [{'last_name': 'Calvi', 'first_name': ""Agamennone Marescotti de'"", 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
Il manoscritto si presenta senza legatura. La scrittura è di un'unica mano e appartiene a F. Odorici.,"{'persons': [{'last_name': 'Odorici', 'first_name': 'F.', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Il', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'La', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'F', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Odorici', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Note a margine e integrazione e correzione testuale (molto ampia quella di c. 34v) di lezioni erroneamente scritte dal copista apposte da altra mano nelle cc. 25-79. Precedenti catalogazioni: n. 103 della catalogazione di A. Visconti (1773). Legatura settecentesca in pelle, con ornamentazioni impresse a secco e tassello, diversa dalla tipica legatura polironiana apposta nel 1773 nel corso del riordino e inventariazione dei manoscritti, ma comune ad alcuni altri codici polironiani e probabilmente anteriore a questa data.","{'persons': [{'last_name': 'Visconti', 'first_name': 'A.', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Note', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Precedenti', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'A', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Visconti', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Legatura', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
Prov. Fondo Hercolani.,"{'persons': [{'last_name': 'Prov', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Hercolani', 'first_name': 'Fondo', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
Ex libris Biblioth. S. Dominici Bononiae,"{'persons': [{'last_name': 'Dominici', 'first_name': 'S.', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Ex', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Biblioth', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'S', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Bononiae', 'first_name': 'Dominici', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
Del Cav. Con. Vincenzio Ranuzzi.,"{'persons': [{'last_name': 'Cav', 'first_name': 'Del', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Con', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Ranuzzi', 'first_name': 'Vincenzio', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Ex libris del co. Baldassarre Carrati di Bologna. - Segnat, antica: 17, G. II. 50.","{'persons': [{'last_name': 'II', 'first_name': 'G.', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Ex', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Bologna', 'first_name': 'Baldassarre Carrati di', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Segnat', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'G', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'II', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Poss. Ant. Petri Philippi Zannelli de Lugo, della cui mano è tutto il manoscritto.","{'persons': [{'last_name': 'Poss', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Ant', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Lugo', 'first_name': 'Petri Philippi Zannelli de', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
"Scipione Roncaglia (1692), Baldassarre Ravazzini (1732, Girolamo Zanantoni di Marano (1742).","{'persons': [{'last_name': 'Roncaglia', 'first_name': 'Scipione', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Ravazzini', 'first_name': 'Baldassarre', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Marano', 'first_name': 'Girolamo Zanantoni di', 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
« Appartiene a Giacomo Zanoni di Reggio pub.co prof. a Bologna. 1671 »,"{'persons': [{'last_name': 'Appartiene', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Reggio', 'first_name': 'Giacomo Zanoni di', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Bologna', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
a) Bibl. SS. Ann. Bon.; b) Libreria di S. Giacomo in Loiano.,"{'persons': [{'last_name': 'Giacomo', 'first_name': 'S.', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Bibl', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'SS', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Ann', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Bon', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'S', 'first_name': 'Libreria di', 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Giacomo', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}, {'last_name': 'Loiano', 'first_name': None, 'occupations': [], 'birth': None, 'death': None}], 'organisations': []}"
